วันนี้โคตรเฟล ทำอะไรก็ผิดไปหมด | neg
พนักงานขายตื้อไม่เลิกจนเรารู้สึกอึดอัดไม่อยากเข้าร้านนั้นอีกเลย | neg
สระว่ายน้ำคอนโดใส่คลอรีนเยอะจนตาอักเสบ ระบบจัดการน้ำน้ำแย่ | neg
อาหารแช่แข็งในเซเว่นอุ่นมาแล้วข้างในยังเป็นน้ำแข็งอยู่เลย เชฟลืมดูเวลาเหรอ | neg
ลิปสติกสีไม่ตรงปกอย่างแรง ในรูปชมพูตุ่น ของจริงชมพูแปร๋นจนตกใจ | neg
ยื่นเอกสารวีซ่าไปเป็นเดือนแล้วยังไม่มีความคืบหน้า เสียตั๋วเครื่องบินไปฟรีๆ | neg
โดนเจ้านายเรียกไปตำหนิต่อหน้าแผนกทั้งที่เราไม่ใช่คนทำผิด เสียกำลังใจมาก | neg
สายชาร์จไอโฟนใช้ได้อาทิตย์เดียวหัวชาร์จหักคาเครื่อง สภาพแย่จัด | neg
แอปดูหนังออนไลน์กระตุกทุกสามนาทีทั้งที่เน็ตวิ่งแรงมาก ระบบหลังบ้านเน่าสุด | neg
จำนวนผู้เข้ารับการอบรมในโครงการวิชาชีพเพิ่มขึ้นร้อยละสิบห้าจากปีก่อน | neu
การตั้งค่าสีหน้าจอคอมพิวเตอร์สามารถเลือกเป็นโหมด RGB หรือ sRGB ได้ | neu
ข้อมูลเลขหมายโทรศัพท์สามารถตรวจสอบได้ผ่านแอปพลิเคชันอย่างเป็นทางการ | neu
เกณฑ์กำไรขั้นต้นของอุตสาหกรรมในไตรมาสนี้ทรงตัวจากช่วงเวลาเดียวกัน | neu
การแสดงเอกสารหลักฐานการฉีดวัคซีนจำเป็นต้องใช้ในบางสถานที่สาธารณะ | neu
ส่วนประกอบของแชมพูสูตรนี้ไม่มีสารพาราเบนและซิลิโคน | neu
กระบวนการผลิตรถยนต์ไฟฟ้าใช้พลังงานจากแหล่งหมุนเวียนเป็นหลัก | neu
การปรับแต่งเสียงในโทรศัพท์ทำได้โดยไปที่เมนูการตั้งค่า, เลือกเสียง | neu
ระเบียบการกู้ยืมเงินต้องมีผู้ค้ำประกันที่เป็นข้าราชการหรือพนักงานประจำ | neu
ตารางรับประทานยาคือหลังอาหารเช้าและเย็นอย่างละหนึ่งเม็ด | neu
การกรอกรหัสไปรษณีย์ที่ถูกต้องช่วยให้การคัดแยกพัสดุทำได้รวดเร็วขึ้น | neu
พื้นที่ป่าไม้ในจังหวัดขอนแก่นมีจำนวนเนื้อที่รวมกันประมาณสองล้านไร่ | neu
การลงทะเบียนขอรับสิทธิ์เงินอุดหนุนต้องทำผ่านช่องทางออนไลน์เท่านั้น | neu
หน้าจอนี้แสดงผลความละเอียดระดับ Full HD พร้อมอัตราการรีเฟรช 60Hz | neu
การประกอบเฟอร์นิเจอร์ต้องใช้ไขควงแฉกขนาดมาตรฐานเป็นเครื่องมือหลัก | neu
ปริมาณแคลอรี่ในข้าวสวยหนึ่งทัพพีมีค่าพลังงานประมาณแปดสิบแคลอรี่ | neu
การโอนคะแนนสะสมระหว่างบัตรทำได้ภายในระยะเวลาสามวันทำการ | neu
การเลือกขนาดฟอนต์สำหรับงานพิมพ์รายงานวิจัยควรใช้ขนาดสิบหกพอยต์ | neu
การทำความสะอาดหน้าจอควรอ่านคำแนะนำในคู่มือการใช้งานของแต่ละรุ่น | neu
ค่าธรรมเนียมการเข้าชมสวนสัตว์ถูกปรับปรุงใหม่ให้เหมาะสมกับปัจจุบัน | neu
การติดตั้งถังดับเพลิงในอาคารควรวางให้ห่างจากพื้นที่สุ่มเสี่ยงห้าเมตร | neu
รายการสรุปยอดหนี้จะถูกส่งไปยังที่อยู่ในรูปแบบจดหมายอิเล็กทรอนิกส์ | neu
การตรวจสอบยอดเงินคงเหลือสามารถทำได้ผ่านเครื่องพ่วงชำระเงินทุกจุด | neu
นโยบายความเป็นส่วนตัวถูกปรับปรุงเพื่อให้สอดคล้องกับกฎหมาย PDPA | neu
วิธีการทำแกงเขียวหวานต้องผัดพริกแกงกับกะทิให้แตกมันก่อนใส่เนื้อ | neu
การรับรองสำเนาถูกต้องต้องใช้ปากกาสีน้ำเงินในการลงนามตามระเบียบ | neu
ช่วงความถี่วิทยุที่ใช้งานในพื้นที่นี้คือคลื่นความถี่เอฟเอ็มหนึ่งร้อยห้า | neu
การสแกนใบหน้าต้องทำในพื้นที่ที่มีแสงสว่างเพียงพอเพื่อให้ระบบจำได้ | neu
จำนวนหน้าทั้งหมดของหนังสือเล่มนี้คือสามร้อยแปดสิบสีหน้าไม่รวมดัชนี | neu
การระบุพิกัดในแผนที่ดิจิทัลทำได้โดยการปักหมุดในตำแหน่งที่ต้องการ | neu
กระบวนการย่อยสลายของเศษอาหารในถังหมักใช้เวลาประมาณสี่สัปดาห์ | neu
การเลือกประเภทกระดาษสำหรับพิมพ์รูปถ่ายควรใช้กระดาษกึ่งมันกึ่งด้าน | neu
หน้าเว็บนี้รองรับการแสดงผลทั้งรูปแบบหน้าจอคอมพิวเตอร์และมือถือ | neu
ประกาศรายชื่อผู้โชคดีจะถูกแสดงอยู่ที่หน้าเพจเฟซบุ๊กหลักของกิจกรรม | neu
การต่ออายุสมาชิกรายปีสามารถชำระเงินผ่านเคาน์เตอร์เซอร์วิสทุกสาขา | neu
การใช้คุกกี้ในเว็บไซต์นี้มีวัตถุประสงค์เพื่อวิเคราะห์พฤติกรรมผู้ใช้ | neu
กำหนดการฝึกอบรมดับเพลิงรายกลุ่มจะมีขึ้นที่บริเวณลานเอนกประสงค์ | neu
การส่งข้อความแจ้งเตือนทางเอสเอ็มเอสจะถูกส่งจากระบบส่วนกลางเท่านั้น | neu
วิธีการรีเซ็ตเครื่องให้กลับไปเป็นค่าโรงงานต้องกดปุ่มรีเซ็ตค้างไว้ | neu
อัตราส่วนของแป้งและน้ำในการทำขนมปังคือสามต่อหนึ่ง | neu
การเข้าสู่ระบบครั้งแรกต้องมีการยืนยันตัวตนผ่านทางอีเมลสำรองเสมอ | neu
สถิติการใช้น้ำประปาในครัวเรือนจะถูกบันทึกไว้อย่างชัดเจนในทุกเดือน | neu
การปรับแต่งฟิลเตอร์ในโปรแกรมต้องใช้หน่วยความจำการ์ดจอที่สูงขึ้น | neu
ตารางกำหนดการสอบปลายภาคจะเริ่มประกาศในช่วงเดือนหน้าที่จะถึงนี้ | neu
การเปิดบัญชีซื้อขายหลักทรัพย์ต้องแนบบัญชีธนาคารย้อนหลังหกเดือน | neu
บังเอิญไปเจอของเล่นสมัยเด็กที่ตามหามานานในราคาไม่กี่สิบบาท ใจฟูเลย | pos
วันนี้พรีเซนต์งานผ่านไปได้ด้วยดี ทีมงานร่วมแรงร่วมใจกันจนสำเร็จ | pos
แวะเข้าร้านอาหารตามสั่งแล้วแม่ค้าจำหน้าได้ แถมเพิ่มไข่ดาวให้ฟรีด้วย | pos
ได้รับข้อความขอบคุณจากเพื่อนที่เราเคยช่วยไว้ รู้สึกดีที่ได้เป็นผู้ให้ | pos
วันนี้วิ่งได้ยอดกิโลเมตรเพิ่มขึ้นจากเมื่อวาน รู้สึกสุขภาพแข็งแรงขึ้น | pos
ลองหัดทำลาเต้อาร์ตครั้งแรกแล้วมันออกมาเป็นรูปหัวใจจริงๆ | pos
ขอบคุณหัวหน้าที่รับฟังและสนับสนุนไอเดียแปลกๆ ของเราจนมันเกิดขึ้นจริง | pos
ลองจัดสวนถาดครั้งแรกแล้วออกมาสวยเกินคาด มีความสุขทุกครั้งที่มอง | pos
วันนี้ตื่นมาพร้อมความรู้สึกสดชื่น ไม่มีอาการปวดหลังเลย ดีใจที่สุด | pos
ขอบคุณเทคโนโลยีที่ทำให้เราค้นหาความรู้ใหม่ๆ ได้ง่ายเพียงแค่ปลายนิ้ว | pos
ไปเดินสวนสาธารณะแล้วเจอคนใจดีช่วยเก็บของที่ทำหล่นให้ ประทับใจเขาจัง | pos
นั่งสมาธิได้นิ่งและนานขึ้น รู้สึกจิตใจสงบและมีสติในการทำงานมากขึ้น | pos
ได้รับอีเมลแจ้งว่าผลงานวิจัยของเราได้รับการตีพิมพ์ ดีใจจนบอกไม่ถูก | pos
ได้ลองกินร้านอาหารที่คนรีวิวว่าดี แล้วรสชาติมันดีกว่าที่คิดไว้เยอะเลย | pos
วันนี้เคลียร์ของที่ไม่ใช้ในบ้านออกไปบริจาค ได้ทั้งบุญและบ้านสะอาด | pos
บังเอิญเจอโปรโมชั่นตั๋วเครื่องบินราคาหลักร้อย ได้ไปเที่ยวประหยัดงบเลย | pos
ภูมิใจที่วันนี้สามารถควบคุมอารมณ์ตัวเองไม่ให้โมโหกับเรื่องไร้สาระได้ | pos
ลองเปลี่ยนมาปั่นจักรยานไปทำงานแล้วรู้สึกสนุกและได้กำลังกายไปด้วย | pos
ได้รับของเซอร์ไพรส์จากเพื่อนร่วมงานในวันที่เรารู้สึกท้อ | pos
ประทับใจที่คนในสังคมยังคงมีน้ำใจช่วยกันตอนที่รถมอเตอร์ไซค์ล้มข้างทาง | pos
ได้กินผลไม้ที่ตัวเองปลูกไว้เองในรั้วบ้าน รสชาติหวานอร่อยกว่าที่ซื้อมา | pos
แก้โจทย์คณิตศาสตร์ที่ทำไม่ได้มานานสำเร็จ ความรู้สึกสดชื่นพุ่งพล่านเลย | pos
ขอบคุณอากาศที่เย็นลงในช่วงเช้า ทำให้การตื่นนอนเป็นเรื่องที่มีความสุข | pos
เจอรองเท้าที่ถูกใจแถมใส่แล้วนุ่มสบายเท้าเหมือนเดินบนปุยเมฆเลย | pos
ได้รับมอบหมายให้เป็นหัวหน้าทีมครั้งแรก จะตั้งใจทำหน้าที่ให้ดีที่สุด | pos
ลองใส่ชุดที่ไม่เคยกล้าใส่แล้วมีคนทักว่าสวย มั่นใจในตัวเองขึ้นเยอะ | pos
ได้เจอหนังสือมือสองสภาพกริบในราคาประหยัด โชคดีเหมือนถูกหวยเลย | pos
วันจันทร์ที่งานยุ่งมากแต่ทุกอย่างราบรื่นไม่มีอุปสรรคเลย ขอบคุณจริงๆ | pos
เห็นคลิปวิดีโอเด็กเต้นอย่างมีความสุขแล้วยิ้มตามไม่หยุดเลย พลังบวก | pos
ดีใจที่วันนี้สามารถวิ่งได้ครบตามระยะทางที่ตั้งเป้าไว้โดยไม่ยอมแพ้ | pos
ได้รับคำชมจากอาจารย์ว่าเรามีพัฒนาการในการเรียนที่ก้าวกระโดด | pos
เจอร้านกาแฟที่เจ้าของร้านอัธยาศัยดีและใส่ใจลูกค้าทุกคนเหมือนญาติ | pos
ได้รับของขวัญแฮนด์เมดที่มีชิ้นเดียวในโลกจากหลานสาว ดีใจสุดๆ เลย | pos
ลองทำอาหารตามสูตรในเน็ตแล้วที่บ้านชมว่าร่อยมากเหมือนซื้อจากร้าน | pos
ได้รับโอกาสดีๆ ในวันที่ไม่คาดคิด รู้สึกขอบคุณทุกอย่างรอบตัวจริงๆ | pos
สแกนจ่ายเงินไม่ได้เพราะระบบธนาคารล่มตอนจะออกจากที่จอดรถ ทำคนอื่นติดยาวเป็นแถว อายจัด | neg
สั่งไอแพดมาใช้เรียนแต่เปิดกล่องมาจอแตกยับ ขนส่งเอาไปโยนเล่นหรือยังไง แย่ | neg
อินเทอร์เน็ตที่คอนโดล่มตอนกำลังจะกดบิดประมูลกระเป๋าใบที่ชอบ เสียโอกาสสุดๆ | neg
พยายามกู้คืนบัญชีเฟซบุ๊กที่โดนแฮกแต่ระบบตรวจสอบช้ามากจนข้อมูลเสียไปหมดแล้ว | neg
ควันจากร้านปิ้งย่างใต้ตึกลอยขึ้นมาในห้องจนเสื้อผ้าที่ซักไว้รับกลิ่นเหม็นไปหมด เซ็ง | neg
จะสมัครคอร์สเรียนฟรีแต่มิจฉาชีพดันเนียนเอาลิงก์ปลอมมาวาง แล้วคัดกรองไม่ได้ | neg
โดนแอปพลิเคชันหักเงินค่าสมาชิกอัตโนมัติทั้งที่กดยกเลิกไปนานแล้ว ระบบหากินง่ายเกิน | neg
แอร์บนออฟฟิศหนาวจนตัวสั่น แจ้งช่างไปกี่ครั้งก็ไม่เคยมาปรับปรุงสภาพการทำงานเลย | neg
โดนพวกก่อกวนคอมเมนต์รูปถ่ายในทางเสียหาย รบกวนสุขภาพจิตใจมากในตอนนี้ | neg
กระเป๋าเป้แบรนด์เนมที่สะพายอยู่โดนซิปบาดจนเป็นรอยเพียงเพราะเบียดกันบนรถเมล์ | neg
พยายามจะ Work from home แต่ข้างบ้านดันขุดท่อทำถนนเสียงดังสนั่นทั้งวัน ทำงานไม่ได้ | neg
แอปเป๋ามีตังค์ใช้งานยากเกินไปสำหรับผู้สูงอายุ ยิ่งอัปเดตยิ่งซับซ้อนจนคนแก่ใช้ไม่เป็น | neg
ไปกินกาแฟที่ Co-working space แต่เจอคนนั่งจองที่ไว้แล้วไปที่อื่นนานสองชั่วโมง | neg
โดนสายโทรศัพท์พันรอบตัวตอนเดินอยู่บนทางเท้า สภาพการจัดการเมืองนี่มันห่วยแตกจริง | neg
เสียเงินค่าสมัครแอปนัดเดทไปตั้งเยอะแต่เจอแต่พวกบอทกับพวกหลอกขายประกัน | neg
พัสดุสถานะขึ้นว่าส่งสำเร็จแต่เรายังไม่ได้รับของเลย ตามที่ใครก็ไม่ได้ ความรับผิดชอบอยู่ไหน | neg
เจอรีวิวร้านอาหารใน TikTok ว่าดีมากแต่พอไปกินจริงคือไม่อร่อยแถมแพงเกินจริงไปมาก | neg
เครื่องขายตั๋วอัตโนมัติรับแต่แบงก์ใหม่ แบงก์เก่าแค่นิดเดียวก็ไม่รับ เสียเวลาแลกมาก | neg
จะถ่ายวิดีโอทำงานแต่เมมโมรี่การ์ดดันพังเสียดื้อๆ ข้อมูลที่ถ่ายมาทั้งวันหายหมด | neg
แอปสั่งอาหารขึ้นราคาค่าส่งแบบก้าวกระโดดเพียงเพราะฝนตกปรอยๆ เอาเปรียบผู้บริโภคชัดเจน | neg
โดนมอเตอร์ไซค์ขับเฉี่ยวบนฟุตบาทแล้วเขายังหันมาตะคอกใส่เราอีก สังคมมันเป็นอะไรไปหมด | neg
ยิ่งใช้เทคโนโลยีเยอะยิ่งรู้สึกว่าเวลาส่วนตัวหายไป เพราะโดนตามงานผ่านไลน์ตลอด 24 ชม. | neg
สั่งเค้กมินิมอลมาฉลองวันครบรอบแต่เขียนชื่อผิดทั้งที่ย้ำไปสามรอบแล้ว ห่วยมาก | neg
ไปคาเฟ่ร้านดังแต่ที่นั่งเต็มแถมร้านแคบจนอึดอัด เหมือนมานั่งเบียดกันมากกว่าพักผ่อน | neg
ระบบจองคิวออนไลน์ของโรงพยาบาลรันคิวมั่วมาก ไปถึงตามเวลาก็ยังต้องรอนานกว่าคนไม่จอง | neg
ซื้อฟิล์มกระจกแบบติดเองมาแต่กาวไม่ติดขอบ เสมือนเสียเงินเปล่าไปทันที | neg
พยายามโทรหาคอลเซ็นเตอร์สายการบินรอสายครึ่งชั่วโมงค่าน้ำมันพุ่งเเต่ไม่มีคนรับ | neg
บรรยากาศที่ทำงานมีแต่คน Toxic คอยจับผิดกันผ่าน Social Media ตลอดเวลา น่าเบื่อมาก | neg
ระบบสแกนใบหน้าเข้าตึกขัดข้องบ่อยจนต้องลงชื่อด้วยกระดาษทุกวัน แล้วจะมีเทคโนโลยีไว้ทำไม | neg
สายชาร์จในห้างราคาเป็นพันแต่ชาร์จติดๆ ดับๆ เหมือนของริมถนน คุณภาพต่ำมาก | neg
โดนคนแอบถ่ายรูปตอนอยู่ในที่สาธารณะแล้วไปลงโซเชียลวิจารณ์เสียหาย แบบนี้เกินไปนะ | neg
แอปบันทึกรายจ่ายอยู่ดีๆ ก็เปิดไม่ได้ ข้อมูลที่ลงไว้สามปีหายเกลี้ยง ใจสลายเลย | neg
พลาสติกหุ้มขวดแชมพูแกะยากมาก ต้องใช้กรรไกรตัดจนเกือบโดนมือ บรรจุภัณฑ์แย่จัด | neg
ระบบอัปเดต Windows บังคับปิดเครื่องตอนกำลังนำเสนองานออนไลน์ อับอายต่อหน้าคนทั้งห้อง | neg
โดนร้านค้าใน Social media โกงเงินสั่งของแล้วไม่ส่งของ แจ้งความไปคดีก็ไม่คืบ | neg
ไมโครโฟนไร้สายแบตหมดตอนเริ่มไลฟ์ขายของพอดี พังแผนการตลาดที่วางไว้หมดเลย | neg
ที่จอดรถคนพิการมีแต่รถหรูคนปกติมาจอดเต็มไปหมด ขาดจิตสำนึกต่อส่วนรวมอย่างยิ่ง | neg
โดนหลอกให้กดลิงก์ดูดเงินจากเอสเอ็มเอสที่อ้างว่าเป็นธนาคาร เกือบเสียสิทธิ์หมดตัว | neg
โดนแบนบัญชีเกมเพียงเพราะระบบเดาว่าเราใช้โปรแกรมโกง ทั้งที่เราเล่นเองแท้ๆ | neg
ห้องพักข้างๆ เปิดทีวีเสียงดังจนทะลุมาห้องเราทุกคืน แจ้งนิติแล้วก็ยังเหมือนเดิม | neg
รายงานสรุปการใช้โซเชียลมีเดียระบุว่าผู้คนใช้งานแพลตฟอร์มวิดีโอสั้นเพิ่มขึ้น | neu
ตารางการรับวัคซีนป้องกันไข้หวัดใหญ่ประจำปีจะจัดขึ้นที่ศาลาอเนกประสงค์ | neu
การใช้รหัสผ่านสองชั้น (2FA) ช่วยเพิ่มความปลอดภัยในการเข้าถึงบัญชีธนาคาร | neu
ปริมาณขยะอิเล็กทรอนิกส์ในแต่ละปีมีสถิติการเพิ่มขึ้นอย่างต่อเนื่องในเขตเมือง | neu
กระบวนการยืนยันตัวตนด้วย KYC ต้องใช้กล้องมือถือถ่ายภาพใบหน้าคู่กับบัตรประชาชน | neu
สถานีชาร์จรถยนต์ไฟฟ้าจะมีระยะทางการติดตั้งบนถนนสายหลักแล้ว | neu
ราคาตลาดกลางของคอนโดมิเนียมย่านสุขุมวิทปีนี้ไม่มีการขยับตัวขึ้นมากนัก | neu
การเปลี่ยนมาใช้หลอดไฟ LED ช่วยลดการใช้พลังงานได้ร้อยละสามสิบต่อครัวเรือน | neu
หน้าจอดิจิทัลแบบ OLED มีคุณสมบัติในการแสดงสีดำได้สนิทกว่าหน้าจอแบบ LCD | neu
กำหนดการปิดปรับปรุงเซิร์ฟเวอร์ประจำเดือนเริ่มตั้งแต่ตีสองจนถึงหกโมงเช้า | neu
การสะสมพอยต์จากการซื้อสินค้าผ่านบัตรเครดิตมีอายุการใช้งานสองปีนับจากที่ได้รับ | neu
ยอดดาวน์โหลดแอปพลิเคชันทางการเงินพุ่งสูงที่สุดในช่วงสัปดาห์แรกของเดือน | neu
การรีเซ็ตการตั้งค่าเครือข่ายจะทำให้ข้อมูลรหัสผ่านไวไฟที่เคยบันทึกไว้หายไป | neu
พยากรณ์อากาศกรุงเทพฯ วันนี้มีโอกาสเกิดฝนร้อยละยี่สิบในช่วงบ่ายถึงค่ำ | neu
ระดับความสูงของตึกที่สร้างใหม่ในเขตนี้นั้นต้องไม่เกินสามสิบชั้นตามกฎหมาย | neu
จำนวนผู้ติดตามหน้าเพจจะถูกนับจากคนที่กดถูกใจ, กดติดตามรวมกัน | neu
สถิติการใช้รถจักรยานยนต์รับจ้างในกรุงเทพฯ มีปริมาณสูงที่สุดในเอเชียตะวันออกเฉียงใต้ | neu
การคัดแยกขยะพลาสติกก่อนทิ้งช่วยให้กระบวนการรีไซเคิลทำได้ง่ายยิ่งขึ้น | neu
ระบบจะตรวจสอบความโปร่งใสของบัญชีผู้ใช้หากมีการทำธุรกรรมที่ผิดปกติ | neu
การตั้งค่าบัญชีเป็นแบบสาธารณะจะทำให้ทุกคนเห็นความเคลื่อนไหวในโปรไฟล์ได้ | neu
ตารางออมเงินอัตโนมัติจะหักเงินจากบัญชีออมทรัพย์ไปอยูในบัญชีเงินฝากประจำทุกเดือน | neu
การคืนสินค้าออนไลน์ต้องทำภายในเจ็ดวันหลังจากสถานะการรับสินค้าเสร็จสมบูรณ์ | neu
เทคโนโลยีบล็อกเชนถูกนำมาใช้ในการตรวจสอบแหล่งที่มาของสินค้าเกษตรกรรม | neu
การกดลิ้งค์จากอีเมลแปลกปลอมควรหลีกเลี่ยงเพื่อป้องกันการโดนฟิชชิ่งข้อมูล | neu
แอปพลิเคชันนัดพบแพทย์เปิดให้บริการปรึกษาผ่านทางวิดีโอคอลได้ตลอดยี่สิบสี่ชั่วโมง | neu
ราคากลางไอโฟนมือสองในตลาดช่วงนี้อยู่ที่ประมาณเจ็ดสิบเปอร์เซ็นต์ของราคาเต็ม | neu
จำนวนเลเยอร์ที่เหมาะสมในการออกแบบกราฟิกเบื้องต้นคือไม่ควรเกินห้าสิบเลเยอร์ | neu
ระบบจอดรถอัตโนมัติของห้างสรรพสินค้าจะแจ้งตำแหน่งที่จอดผ่านแอปพลิเคชัน | neu
การยกเลิกการติดตามข่าวสารทางอีเมลต้องกดลิงก์ Unsubscribe ที่ด้านล่างสุด | neu
ปริมาณก๊าซคาร์บอนไดออกไซด์จากการใช้รถยนต์ไฟฟ้ามีค่าเฉลี่ยต่ำกว่ารถยนต์สันดาป | neu
ตารางการจ่ายเงินบำนาญสมาชิกจะถูกประกาศผ่านเว็บไซต์กรมบัญชีกลางทุกวันที่สอง | neu
การอัปเดตแอปพลิเคชันให้เป็นเวอร์ชันล่าสุดช่วยลดช่องโหว่ทางด้านความปลอดภัย | neu
พื้นที่การใช้บริการไวไฟฟรีของรัฐบาลมีจุดให้บริการครอบคลุมทั่วเขตเทศบาล | neu
การกรอกรหัสไปรษณีย์ในระบบการสั่งซื้อสินค้าออนไลน์เป็นช่องบังคับที่ต้องระบุ | neu
ระบบแนะนำสินค้าในหน้าเว็บจะประมวลผลจากประวัติการค้นหาล่าสุดของผู้ใช้งาน | neu
การขอใบกำกับภาษีอิเล็กทรอนิกส์ (e-Tax) สามารถทำได้โดยแจ้งพนักงานร้านค้า | neu
อัตราการกะพริบของไฟสถานะเราเตอร์แสดงถึงความผิดปกติของการเชื่อมต่อโครงข่าย | neu
จำนวนโควตาผู้มีสิทธิ์ลงทะเบียนรับสวัสดิการมีจำนวนจำกัดต่อวันในแต่ละเขต | neu
การตรวจสอบสภาพดินก่อนการปลูกผักบนดาดฟ้าต้องคำนึงถึงค่าความเป็นกรดด่าง | neu
ระบบกรองน้ำรังสียูวีช่วยฆ่าเชื้อโรคในน้ำดื่มได้ร้อยละเก้าสิบเก้าจุดเก้า | neu
การจัดเก็บไฟล์งานในรูปแบบ PDF ช่วยรักษาการจัดเรียงข้อความให้คงเดิม | neu
แอปพลิเคชันแปลภาษาสามารถใช้งานแบบออฟไลน์ได้หากมีการดาวน์โหลดฐานข้อมูลล่วงหน้า | neu
การสำรองข้อมูลรายชื่อผู้ติดต่อควรซิงค์ไว้กับบัญชีคลาวด์เพื่อความสะดวกในการย้ายเครื่อง | neu
บังเอิญกดสลามมี่ในเกมได้ไอเทมแรร์ระดับตำนานด้วยการสุ่มครั้งเดียว ดีใจจนตัวสั่น | pos
สะสมพอยต์ในแอปกาแฟจนได้ดื่มฟรีวันแรก รู้สึกเหมือนได้รับรางวัลชีวิต | pos
วันนี้สแกนจ่ายเงินได้รวดเร็วแถมได้รับแคชแบ็คคืนมาตั้ง 50 บาท คุ้มค่าที่สุด | pos
ภูมิใจในตัวเองมากที่วันนี้เลือกเดินขึ้นบันไดออฟฟิศ 10 ชั้นแทนการรอลิฟต์ | pos
ขอบคุณแอปพลิเคชันจัดระเบียบชีวิตที่ทำให้วันนี้ทำทุกอย่างสำเร็จตามเป้าเป๊ะๆ | pos
วันนี้เจอคาเฟ่ลับที่เน็ตแรงมากและคนน้อย เหมาะกับการปั่นงานให้เสร็จสุดๆ | pos
ประทับใจระบบขนส่งสาธารณะวันนี้ที่มาตรงเวลาแถมแอร์เย็นฉ่ำ | pos
วันนี้ใช้คูปองส่วนลดซื้อไอโฟนเครื่องใหม่ได้ถูกลงกว่าเดิมตั้งห้าพันบาท ดีใจจัง | pos
วันนี้ลองใช้แอปแต่งรูปรอยยิ้มออกมาเป็นธรรมชาติมาก มั่นใจที่จะโพสต์ลงโซเชียลเลย | pos
ประทับใจฟีเจอร์ใหม่ของแอปธนาคารที่ช่วยสรุปรายจ่ายได้ละเอียดและเข้าใจง่ายสุดๆ | pos
โหลดเกมที่รอคอยมานานเสร็จแล้ว คืนนี้เจอกันยาวๆ ตื่นเต้นจัด | pos
วันนี้พัสดุมาส่งก่อนกำหนดหนึ่งวันแถมคนส่งก็พูดจาสุภาพมาก ประทับใจจริงๆ | pos
ได้รับคำชมจากคนในกลุ่มเฟซบุ๊กว่าเป็นผู้ให้ความรู้ที่เป็นประโยชน์มาก ใจฟูเลย | pos
ดีใจที่วันนี้ไปดูคอนเสิร์ตแล้วถ่ายรูปพระเอกในดวงใจได้ชัดแจ๋ว เก็บไว้เป็นที่ระลึก | pos
ภูมิใจที่วันนี้สามารถดีท็อกซ์โซเชียลมีเดียได้ทั้งวัน รู้สึกมีสมาธิมากขึ้นเยอะ | pos
วันนี้เจอแอปพลิเคชันสอนภาษาแบบใช้ฟรีที่มีเนื้อหาดีเทียบเท่าคอร์สแพงๆ เลย | pos
ขอบคุณระบบ AI ที่ช่วยแก้งานเขียนภาษาอังกฤษให้ดีขึ้นมาก สิ้นสุดการนั่งงมเอง | pos
ได้เจอที่จอดรถในห้างตอนบ่ายวันเสาร์ได้ภายในสามนาที โชคดีอย่างกับถูกหวย | pos
วันนี้สตรีมเกมแล้วมีคนเข้ามาดูเยอะมากและคอมเมนต์ให้กำลังใจตลอด ปลื้มสุด | pos
ได้รับข้อความแจ้งเตือนว่าเราเป็นผู้ชนะการแข่งขันกิจกรรมออนไลน์ ดีใจน้ำตาไหล | pos
ได้คุยกับเพื่อนต่างชาติผ่านแอปแลกเปลี่ยนภาษาแล้วเขาสอนเทคนิคเจ๋งๆ ให้ฉัน | pos
ภูมิใจที่วันนี้สามารถทำอาหารตลีนกินเองได้ครบสามมื้อโดยไม่ออกนอกลู่นอกทาง | pos
วันนี้มีคนกดถูกใจคอมเมนต์ของเราเป็นพันคน รู้สึกดีที่ไอเดียเรามีคนเห็นด้วยเยอะ | pos
ได้ลองใช้ฟีเจอร์ AI วาดรูปตามจินตนาการแล้วมันออกมาสวยกว่าที่คิดไว้มาก มหัศจรรย์ | pos
ขอบคุณกลุ่มสาระในพันทิปที่ช่วยแนะนำวิธีแก้ปัญหาคอมพิวเตอร์ที่งมมานานจนสำเร็จ | pos
สะสมแต้มบัตรสมาชิกจนอัปเกรดเป็นระดับโกลด์ได้แล้ว สิทธิพิเศษเพียบ | pos
ประทับใจแอปบริหารความเครียดที่ช่วยให้นอนหลับสบายขึ้นในรอบหลายอาทิตย์ | pos
ได้เจอเพื่อนเก่าในกลุ่มศิษย์เก่าในแอปไลน์ คุยกันสนุกเหมือนย้อนกลับไปสิบปีที่แล้ว | pos
ภูมิใจที่วันนี้ทำงานเสร็จเร็วขึ้นกว่าเดิมสองเท่าเพราะได้ใช้คีย์ลัดใหม่ที่เพิ่งเรียน | pos
ได้รับข้อเสนองานที่ตรงกับความฝันผ่านทาง LinkedIn ดีใจจนยิ้มไม่หุบเลยจ้า | pos
วันนี้ลองทำคอนเทนต์เต้นลง TikTok ครั้งแรกแล้วมีคนมาชมว่าน่ารักมาก เขินจัง | pos
ประทับใจที่ร้านค้าออนไลนห่อพัสดุมาดีมากและกันกระแทกแบบรักษ์โลก เยี่ยมสุดๆ | pos
เอาชนะความขี้เกียจของตัวเองแล้วออกไปเดินสวนสาธารณะได้สำเร็จ | pos
วันนี้ได้รับอีเมลยืนยันการรับทุนการศึกษา ตื่นเต้นและภูมิใจในตัวเองที่สุด | pos
